SurveyYr,Age,AgeMonths
2009_10,34,409
2009_10,4,49
2009_10,49,596
2009_10,9,115
2009_10,8,101
2009_10,45,541
2009_10,66,795
2009_10,58,707
2009_10,54,654
2009_10,10,123
2009_10,58,700
2009_10,50,603
2009_10,9,112
2009_10,33,404
2009_10,60,721
2009_10,16,194
2009_10,56,677
2009_10,57,694
2009_10,54,655
2009_10,38,458
2009_10,8,104
2009_10,36,434
2009_10,44,539
2009_10,64,771
2009_10,26,319
2009_10,59,718
2009_10,49,593
2009_10,51,614
2009_10,17,211
2009_10,12,152
2009_10,16,199
2009_10,28,336
2009_10,37,452
2009_10,28,346
2009_10,32,387
2009_10,25,310
2009_10,21,253
2009_10,8,98
2009_10,44,536
2009_10,56,682
2009_10,78,937
2009_10,3,43
2009_10,58,700
2009_10,1,18
2009_10,13,164
2009_10,27,334
2009_10,31,379
2009_10,29,357
2009_10,11,142
2009_10,6,76
2009_10,56,672
2009_10,16,203
2009_10,30,365
2009_10,26,312
2009_10,30,365
2009_10,54,658
2009_10,29,359
2009_10,17,205
2009_10,9,108
2009_10,80,
2009_10,13,167
2009_10,50,609
2009_10,26,315
2009_10,58,701
2009_10,80,
2009_10,35,428
2009_10,7,93
2009_10,8,107
2009_10,12,149
2009_10,80,
2009_10,66,800
2009_10,34,418
2009_10,38,458
2009_10,2,25
2009_10,50,605
2009_10,43,526
2009_10,41,499
2009_10,46,555
2009_10,61,737
2009_10,44,538
2009_10,80,
2009_10,15,187
2009_10,76,917
2009_10,29,356
2009_10,63,759
2009_10,63,764
2009_10,50,610
2009_10,70,843
2009_10,16,198
2009_10,31,376
2009_10,30,362
2009_10,52,634
2009_10,46,563
2009_10,22,274
2009_10,6,82
2009_10,48,584
2009_10,27,332
2009_10,55,660
2009_10,62,748
2009_10,54,655
2009_10,39,469
2009_10,42,505
2009_10,46,558
2009_10,56,672
2009_10,46,556
2009_10,14,168
2009_10,29,353
2009_10,31,373
2009_10,36,432
2009_10,0,2
2009_10,49,591
2009_10,60,730
2009_10,28,347
2009_10,8,102
2009_10,32,392
2009_10,46,561
2009_10,55,670
2009_10,57,694
2009_10,79,
2009_10,9,118
2009_10,46,560
2009_10,22,269
2009_10,7,85
2009_10,60,728
2009_10,35,430
2009_10,29,353
2009_10,74,891
2009_10,12,147
2009_10,44,528
2009_10,36,442
2009_10,18,219
2009_10,31,372
2009_10,32,391
2009_10,32,391
2009_10,16,195
2009_10,65,782
2009_10,55,667
2009_10,9,112
2009_10,77,926
2009_10,19,232
2009_10,11,137
2009_10,62,749
2009_10,26,313
2009_10,39,478
2009_10,68,820
2009_10,9,118
2009_10,47,564
2009_10,0,8
2009_10,80,
2009_10,72,868
2009_10,40,484
2009_10,18,221
2009_10,30,370
2009_10,65,789
2009_10,20,243
2009_10,61,734
2009_10,79,
2009_10,2,32
2009_10,52,625
2009_10,15,189
2009_10,61,736
2009_10,56,676
2009_10,10,127
2009_10,12,144
2009_10,74,891
2009_10,50,606
2009_10,48,581
2009_10,13,166
2009_10,43,520
2009_10,67,804
2009_10,25,300
2009_10,6,74
2009_10,67,812
2009_10,13,167
2009_10,38,466
2009_10,61,733
2009_10,74,893
2009_10,29,352
2009_10,42,511
2009_10,60,728
2009_10,31,375
2009_10,70,845
2009_10,56,681
2009_10,12,151
2009_10,53,644
2009_10,45,545
2009_10,73,885
2009_10,9,112
2009_10,73,885
2009_10,17,208
2009_10,40,480
2009_10,33,407
2009_10,44,529
2009_10,13,167
2009_10,73,879
2009_10,55,663
2009_10,16,201
2009_10,39,470
2009_10,65,790
2009_10,20,251
2009_10,48,585
2009_10,38,459
2009_10,48,579
2009_10,12,155
2009_10,65,786
2009_10,39,469
2009_10,21,254
2009_10,6,76
2009_10,63,767
2009_10,54,655
2009_10,56,674
2009_10,21,263
2009_10,76,920
2009_10,19,234
2009_10,43,519
2009_10,45,548
2009_10,60,725
2009_10,43,524
2009_10,43,522
2009_10,18,219
2009_10,80,
2009_10,25,307
2009_10,4,59
2009_10,25,307
2009_10,54,650
2009_10,29,356
2009_10,7,84
2009_10,46,557
2009_10,33,401
2009_10,50,600
2009_10,54,650
2009_10,16,194
