SurveyYr,Age,AgeMonths
2011_12,22.0,147.0
2011_12,54.0,444.0
2009_10,3.0,70.0
2009_10,61.0,720.0
2011_12,5.0,31.0
2011_12,26.0,192.0
2009_10,51.0,661.0
2011_12,27.0,144.0
2009_10,31.0,429.0
2009_10,31.0,520.0
2011_12,9.0,129.0
2011_12,19.0,312.0
2009_10,53.0,659.0
2009_10,4.0,55.0
2011_12,61.0,537.0
2009_10,25.0,563.0
2011_12,70.0,694.0
2009_10,41.0,458.0
2009_10,77.0,936.0
2011_12,45.0,388.0
2009_10,19.0,355.0
2011_12,5.0,33.0
2009_10,50.0,517.0
2011_12,10.0,88.0
2009_10,12.0,169.0
2009_10,50.0,531.0
2009_10,28.0,608.0
2011_12,25.0,233.0
2011_12,28.0,429.0
2009_10,1.0,57.0
2009_10,14.0,189.0
2011_12,57.0,682.0
2011_12,38.0,430.0
2011_12,64.0,475.0
2009_10,-2.0,-31.0
2009_10,78.0,900.0
2011_12,30.0,101.0
2011_12,45.0,519.0
2011_12,23.0,272.0
2011_12,34.0,197.0
2011_12,80.0,841.0
2011_12,3.0,-35.0
2011_12,51.0,482.0
2009_10,37.0,492.0
2011_12,32.0,345.0
2009_10,81.0,952.0
2009_10,57.0,687.0
2011_12,54.0,370.0
2009_10,13.0,110.0
2009_10,80.0,891.0
2011_12,15.0,206.0
2011_12,30.0,321.0
2011_12,15.0,11.0
2009_10,17.0,188.0
2011_12,54.0,582.0
2011_12,50.0,449.0
2009_10,64.0,860.0
2011_12,29.0,167.0
2011_12,66.0,766.0
2011_12,48.0,364.0
2011_12,41.0,546.0
2011_12,20.0,276.0
2009_10,80.0,888.0
2009_10,0.0,59.0
2009_10,48.0,321.0
2011_12,32.0,317.0
2011_12,38.0,402.0
2009_10,72.0,897.0
2009_10,51.0,547.0
2011_12,68.0,545.0
2011_12,18.0,160.0
2009_10,55.0,675.0
2009_10,16.0,98.0
2009_10,18.0,265.0
2009_10,36.0,618.0
2011_12,34.0,300.0
2011_12,28.0,220.0
2011_12,17.0,90.0
2011_12,71.0,673.0
2011_12,6.0,57.0
2009_10,49.0,607.0
2009_10,12.0,157.0
2011_12,69.0,489.0
2011_12,12.0,29.0
2011_12,25.0,183.0
2009_10,42.0,546.0
2009_10,21.0,384.0
2011_12,68.0,617.0
2011_12,49.0,601.0
2011_12,16.0,111.0
2009_10,83.0,948.0
2011_12,57.0,658.0
2009_10,22.0,492.0
2009_10,82.0,912.0
2011_12,12.0,165.0
2009_10,16.0,107.0
2009_10,56.0,798.0
2009_10,22.0,189.0
2011_12,15.0,113.0
2009_10,1.0,20.0
2011_12,82.0,858.0
2009_10,45.0,724.0
2009_10,51.0,702.0
2009_10,75.0,845.0
2011_12,2.0,78.0
2011_12,-3.0,-39.0
2011_12,32.0,105.0
2009_10,56.0,707.0
2011_12,75.0,898.0
2009_10,3.0,11.0
2011_12,48.0,431.0
2011_12,56.0,658.0
2009_10,6.0,210.0
2011_12,51.0,558.0
2009_10,19.0,388.0
2011_12,7.0,101.0
2011_12,40.0,428.0
2011_12,55.0,694.0
2011_12,16.0,146.0
2011_12,81.0,743.0
2011_12,17.0,265.0
2011_12,23.0,130.0
2009_10,19.0,390.0
2011_12,15.0,62.0
2011_12,22.0,157.0
2009_10,83.0,992.0
2009_10,12.0,145.0
2011_12,18.0,78.0
2011_12,46.0,332.0
2011_12,47.0,384.0
2011_12,73.0,697.0
2011_12,10.0,38.0
2009_10,12.0,166.0
2011_12,60.0,559.0
2011_12,23.0,335.0
2009_10,40.0,739.0
2009_10,0.0,12.0
2011_12,3.0,-20.0
