SurveyYr,Age,AgeMonths
2011_12,12,137
2011_12,10,66
2011_12,1,-13
2011_12,47,495
2009_10,13,263
2011_12,17,195
2009_10,36,426
2009_10,6,87
2011_12,27,235
2011_12,16,156
2011_12,33,310
2011_12,19,265
2011_12,15,135
2009_10,46,687
2011_12,43,375
2009_10,54,633
2009_10,7,72
2011_12,25,310
2009_10,20,393
2011_12,22,84
2009_10,26,525
2011_12,77,723
2011_12,27,255
2011_12,70,703
2009_10,7,217
2009_10,20,470
2011_12,60,633
2011_12,64,709
2009_10,3,106
2011_12,41,457
2011_12,7,97
2011_12,15,103
2011_12,75,869
2009_10,21,283
2009_10,21,452
2011_12,4,-33
2011_12,70,724
2011_12,6,16
2009_10,45,524
2009_10,24,401
2009_10,23,335
2009_10,81,924
2011_12,65,710
2011_12,66,673
2011_12,31,426
2009_10,0,41
2011_12,57,644
2009_10,41,492
2009_10,35,534
2009_10,12,151
2011_12,11,85
2009_10,31,243
2009_10,25,414
2011_12,38,201
2009_10,59,712
2011_12,74,806
2009_10,44,603
2011_12,8,84
2011_12,23,373
2009_10,61,625
2011_12,34,368
2009_10,55,539
2009_10,55,729
2009_10,65,786
2011_12,20,55
2011_12,77,883
2011_12,35,225
2011_12,8,86
2011_12,22,194
2011_12,30,499
2009_10,41,510
2011_12,54,266
2011_12,20,375
2011_12,30,83
2011_12,3,10
2011_12,10,147
2009_10,46,712
2011_12,72,821
2011_12,38,292
2009_10,14,238
2009_10,51,487
2009_10,42,423
2011_12,15,78
2011_12,-1,-49
2009_10,27,493
2011_12,44,626
2011_12,60,645
2009_10,4,107
2009_10,39,440
2009_10,69,692
2011_12,3,4
2009_10,18,347
2011_12,36,423
2009_10,-1,-12
2009_10,61,770
2011_12,84,965
2009_10,22,474
2009_10,52,691
2011_12,37,304
2009_10,8,184
2011_12,15,121
2009_10,25,292
2009_10,49,661
2011_12,23,24
2011_12,58,480
2011_12,76,787
2009_10,11,233
2011_12,63,758
2009_10,86,1008
2009_10,56,728
2011_12,41,413
2011_12,4,61
2011_12,5,111
2011_12,10,50
2011_12,46,301
2011_12,16,75
2009_10,63,762
2009_10,62,798
2009_10,40,650
2011_12,18,141
2009_10,27,377
2009_10,38,535
2009_10,8,260
2011_12,36,197
2009_10,36,292
2009_10,50,750
2011_12,73,712
2009_10,54,624
2011_12,22,128
