Object,Type
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-CL.pkl,tc-class-instance
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-CL-OF.csv,tc-class-outputfilenames
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-CURATED.csv,curated
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-TRANSFORMED.csv,transformed
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-CONTROL.csv,control
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-SYN.csv,synthetic_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-REV.csv,reversed_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-CONTROLREV.csv,controlReversed_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-TRAINING.csv,training_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\privacyMetrics\socialdata-TC3-C-SINGLINGOUT_UNI.csv,singlingOut_uni_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\privacyMetrics\socialdata-TC3-C-SINGLINGOUT_MULTI.csv,singlingOut_multi_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\privacyMetrics\socialdata-TC3-C-LINKABILITY.csv,linkability_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\privacyMetrics\socialdata-TC3-C-INFERENCE.csv,inference_samples
"{'set_1-0': {'1': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-0-1-TRANSFORMED.csv', '2': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-0-2-TRANSFORMED.csv', '3': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-0-3-TRANSFORMED.csv', '4': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-0-4-TRANSFORMED.csv', '5': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-0-5-TRANSFORMED.csv', '6': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-0-6-TRANSFORMED.csv'}, 'set_1-1': {'1': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-1-TRANSFORMED.csv', '2': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-2-TRANSFORMED.csv', '3': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-3-TRANSFORMED.csv', '4': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-4-TRANSFORMED.csv', '5': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-5-TRANSFORMED.csv', '6': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-6-TRANSFORMED.csv', '7': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-7-TRANSFORMED.csv', '8': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-8-TRANSFORMED.csv', '9': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-9-TRANSFORMED.csv', '10': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-10-TRANSFORMED.csv', '11': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-11-TRANSFORMED.csv', '12': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-1-12-TRANSFORMED.csv'}, 'set_1-2': {'1': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-2-1-TRANSFORMED.csv', '2': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-2-2-TRANSFORMED.csv', '3': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-2-3-TRANSFORMED.csv', '4': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-2-4-TRANSFORMED.csv', '5': 'C:\\Users\\tanmz\\OneDrive - A STAR\\DAR\\synData\\copula-tabular\\examples\\synData\\socialdata-TC3-C-set_1-2-5-TRANSFORMED.csv'}}",conditional_transformed
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-COND_SYN.csv,conditional_synthetic_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\synData\socialdata-TC3-C-COND_REV.csv,conditional_reversed_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\privacyMetrics\socialdata-TC3-C-COND_SINGLINGOUT_UNI.csv,conditional_singlingOut_uni_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\privacyMetrics\socialdata-TC3-C-COND_SINGLINGOUT_UNI.csv,conditional_singlingOut_multi_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\privacyMetrics\socialdata-TC3-C-COND_LINKABILITY.csv,conditional_linkability_samples
C:\Users\tanmz\OneDrive - A STAR\DAR\synData\copula-tabular\examples\privacyMetrics\socialdata-TC3-C-COND_INFERENCE.csv,conditional_inference_samples
