ID,date_1,date_2,date_3,date_4,accents
1," Sun, 11 January 09"," Thu, 13 April 89"," Tue, 09 May 95"," Sun, 01 November 09",ÂéüÒÑ
2," Thu, 05 December 85"," Wed, 11 April 07"," Mon, 20 April 09"," Sun, 12 May 85",ÂéüÒÑ
3," Fri, 18 July 08"," Thu, 02 March 00"," Mon, 15 November 82", nan,ÂéüÒÑ
4," Thu, 23 July 92"," Wed, 15 April 09"," Tue, 10 October 95", nan,ÂéüÒÑ
5," Tue, 07 November 06"," Sat, 26 April 03"," Wed, 17 June 98"," Tue, 11 July 06",ÂéüÒÑÂ
6," Mon, 09 October 00"," Mon, 28 July 03"," Tue, 30 July 96"," Sun, 10 September 00",ÂéüÒÑ€ȁȂȃȄȅȧȫȮȯȞȲ
7," Mon, 11 September 95"," Tue, 19 June 84"," Mon, 16 February 09"," Thu, 09 November 95",ÂéüÒÑ
8," Thu, 06 August 87"," Thu, 29 October 87"," Sat, 05 August 89"," Mon, 08 June 87",ÂéüÒÑ
9," Fri, 25 August 95"," Fri, 12 May 06"," Sun, 31 July 83", nan,ÂéüÒÑ
10," Wed, 27 September 95"," Fri, 19 February 99"," Tue, 01 September 92", nan,ÂéüÒÑ
11," Tue, 21 March 89"," Tue, 30 April 85"," Sun, 07 October 84", nan,ÂéüÒÑ
12," Sun, 11 July 04"," Fri, 28 February 86"," Mon, 12 April 04"," Sun, 07 November 04",ÂéüÒÑ
13," Sun, 07 July 85"," Sat, 05 December 98"," Sat, 09 February 91"," Sun, 07 July 85",ÂéüÒÑ
14," Sun, 07 November 04"," Sat, 27 January 96"," Sat, 03 March 84"," Sun, 11 July 04",ÂéüÒÑ
15," Fri, 16 September 05"," Wed, 02 September 87"," Tue, 17 September 85", nan,ÂéüÒÑ
16," Sat, 17 September 88"," Wed, 01 April 98"," Sun, 08 December 96", nan,ÂéüÒÑ
